Test Your Mettle: Where?
Custom
HailActorGetQuest -Actor "Hydona"
-530.78 73.78 325.65
-540.94 78.23 306.05
-549.64 82.23 290.06
-561.83 86.97 269.88
-575.11 91.62 247.90
-578.02 94.74 227.10
-574.61 97.73 206.96
-570.39 98.38 189.25
-571.90 97.62 171.03
-592.45 96.98 201.77
-583.06 96.04 229.64
-573.91 90.74 258.22
-562.90 86.38 282.07
-552.37 81.93 303.45
-540.95 76.01 325.82
-530.40 75.72 346.49
-527.74 74.73 364.01
-539.84 75.95 377.53
Custom
Path -PL 18 -CPSP
331.19 286.45 957.75
320.41 286.42 932.36
283.78 273.79 838.21
306.75 247.37 746.89
186.47 209.13 658.65
112.78 149.03 546.05
44.09 88.33 418.80
-2.22 77.26 394.99
-116.06 43.38 420.31
-230.82 72.44 452.25
-305.24 91.60 428.90
-363.58 82.23 377.18
-538.38 75.02 371.80
-546.26 77.80 382.85
-572.19 67.30 426.45
-599.82 59.81 483.30
-621.89 61.76 498.64
-669.98 67.70 421.54
-715.08 60.79 433.10
Custom
Path -PL 4 -L -YD 10 -QA "-QD|125|-A|Goldbeak's Ore|-T|QSC:harvested Goldbeak's Ore|-E|H" -CT "QSC:collected her ore samples"
-742.65 62.80 422.30
-757.75 63.33 433.42
-786.32 68.04 417.29
-807.31 79.97 387.36
-816.86 82.54 374.57
-820.15 82.14 382.69
Custom
Path -PL 10 -CPSP
-791.61 70.01 413.70
-746.31 61.05 437.79
-737.66 58.47 470.47
-715.56 66.00 507.43
-671.70 72.24 538.98
-660.27 62.77 559.59
-648.08 61.82 556.13
-625.29 61.26 509.63
-588.52 62.88 463.58
-570.67 69.43 416.17
-561.04 73.20 398.01
-548.15 77.62 383.16
-520.85 74.33 364.32
-496.88 74.00 366.36
-477.34 74.20 370.61
-460.85 75.72 373.41
-434.43 75.22 374.43
-405.98 74.31 372.29
-378.25 79.07 369.90
-353.76 84.17 367.79
-320.00 91.64 407.07
-285.66 91.26 440.46
-254.46 84.17 449.39
-210.08 66.49 449.27
-167.40 54.48 440.38
-102.73 39.20 424.66
-44.69 38.50 410.54
-15.25 40.15 363.21
51.06 46.83 327.36
58.17 74.51 390.70
68.94 93.64 428.88
86.31 110.55 462.56
108.46 132.27 505.08
130.22 156.77 548.31
151.00 179.78 589.78
179.63 200.77 634.46
210.75 215.06 664.59
258.63 230.28 706.34
293.70 242.37 736.93
320.73 252.78 760.49
307.84 259.87 796.68
294.80 273.11 838.10
282.76 283.43 876.25
293.48 285.68 894.39
315.86 286.42 928.87
337.78 286.42 959.02
Custom
HailActor "Hydona" 5 1
335.49 286.45 965.62
Custom
HailActor "Goldbeak" 3 1
331.19 286.45 957.75
