Visions of Vetrovia: Vacrul Intentions
Custom
HailActorGetQuest -Actor "Tavian Faust"
-65.05 22.96 360.46
-75.21 23.39 358.92
-84.87 22.25 356.12
-94.75 19.45 354.42
-104.71 17.74 354.66
-114.61 17.05 357.43
-124.33 18.22 360.94
-133.92 19.11 364.28
Custom
HailActor "Tavian Faust" 2
-139.18 19.57 366.16
